Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),E* (GPa),sy (GPa)
0,150.2966301,186488.8184,0.689756517,0.244707545,0.00900003,109.63,1.029
1,159.1629515,183452.2715,0.680518281,0.237793609,0.008999997,109.63,1.029
2,149.2312152,192939.2582,0.691277798,0.245579541,0.009000032,109.63,1.029
3,159.1149227,186800.295,0.669441127,0.237829849,0.009000023,109.63,1.029
4,134.000524,197374.0493,0.718339514,0.259160112,0.009000006,109.63,1.029
5,134.0479394,190728.0429,0.694644937,0.259114941,0.009000053,109.63,1.029
6,85.94813725,186795.6834,0.698094458,0.323596279,0.009000021,109.63,1.029
7,160.1956761,183863.7688,0.677684238,0.237025966,0.009000003,109.63,1.029
8,155.1979896,188001.5215,0.688092731,0.24081224,0.009000014,109.63,1.029
9,149.7796745,189494.2848,0.702041465,0.245129484,0.009000031,109.63,1.029
10,162.9017902,182095.6392,0.684673429,0.235048502,0.008999965,109.63,1.029
11,159.3670771,185804.7957,0.691726742,0.237641537,0.009000017,109.63,1.029
12,173.5674457,186897.0736,0.670072934,0.227712283,0.008999973,109.63,1.029
13,155.4460003,189464.0235,0.70336917,0.240620522,0.009000049,109.63,1.029
14,153.3566839,189121.6467,0.696162219,0.242253683,0.00900002,109.63,1.029
15,159.432402,184927.2013,0.671557999,0.237593084,0.009000035,109.63,1.029
16,159.6884682,184152.2136,0.677465278,0.237402217,0.009000012,109.63,1.029
17,151.1154467,184276.1471,0.685508005,0.244044245,0.009000072,109.63,1.029
18,143.4838361,192159.3288,0.705099304,0.250449623,0.009000026,109.63,1.029
19,154.9977806,193346.2543,0.69467699,0.240968254,0.009000055,109.63,1.029
20,78.93972992,191785.1546,0.715674277,0.337655707,0.009000027,109.63,1.029
21,167.1736139,181323.7252,0.672567599,0.232026228,0.008999987,109.63,1.029
22,157.3146761,230037.6964,0.739895666,0.239186615,0.00900001,109.63,1.029
23,145.6297103,187777.384,0.699181784,0.248597448,0.009000017,109.63,1.029
24,148.6455201,190815.3769,0.694070901,0.246062804,0.009000026,109.63,1.029
25,114.4305704,186520.0921,0.698257777,0.280447126,0.009000032,109.63,1.029
26,145.8062591,186370.6991,0.704478711,0.248447123,0.009000033,109.63,1.029
27,148.9196169,187159.9946,0.691201517,0.24583674,0.009000062,109.63,1.029
28,150.8831507,187098.2961,0.698712439,0.244231517,0.009000034,109.63,1.029
29,151.6686437,190323.0006,0.691206051,0.243598315,0.009000038,109.63,1.029
30,163.3718268,187015.7256,0.694377819,0.2347109,0.009000024,109.63,1.029
31,158.4883862,194197.5747,0.686803249,0.238299073,0.008999993,109.63,1.029
32,157.85782,187244.739,0.683788219,0.238775284,0.009000048,109.63,1.029
33,150.0791988,189107.1654,0.706212502,0.244884656,0.009000024,109.63,1.029
34,152.1551887,185549.3434,0.677192856,0.24320855,0.00900004,109.63,1.029
35,156.9307829,190296.4353,0.701072595,0.239479,0.00900001,109.63,1.029
36,162.9550919,185631.1558,0.674097256,0.235010958,0.009000034,109.63,1.029
37,157.0118794,184810.1172,0.68046783,0.239417495,0.009000037,109.63,1.029
38,149.5655786,184797.2225,0.679717157,0.245305353,0.009000066,109.63,1.029
40,178.3064849,187799.1365,0.680539344,0.224666426,0.00900002,109.63,1.029
41,152.2894758,188441.4175,0.692478999,0.243101039,0.009000021,109.63,1.029
42,160.7641049,185724.0843,0.670217427,0.236606707,0.009000014,109.63,1.029
43,153.5931511,184960.4518,0.693832074,0.242066767,0.008999993,109.63,1.029
44,169.9814669,183574.6239,0.678407969,0.230101495,0.008999957,109.63,1.029
45,148.3197414,191896.6359,0.687689919,0.246332814,0.00900002,109.63,1.029
46,176.2617224,187103.8578,0.67495214,0.225966341,0.009000062,109.63,1.029
47,160.1671434,189674.4814,0.697422688,0.237047354,0.009000024,109.63,1.029
48,158.5317594,188341.513,0.690730424,0.238266743,0.009000013,109.63,1.029
49,175.2812642,189814.8516,0.697067367,0.22659659,0.008999994,109.63,1.029
50,159.9834903,189279.4312,0.694429189,0.237183363,0.009000023,109.63,1.029
51,101.8858611,193395.8858,0.673946521,0.297211008,0.009000025,109.63,1.029
52,159.18941,186993.948,0.69243462,0.237774597,0.009000053,109.63,1.029
53,156.986931,188530.6338,0.697019983,0.239436512,0.009000036,109.63,1.029
54,147.5705408,184281.9361,0.683589389,0.246957499,0.009000033,109.63,1.029
55,160.5374968,185990.6592,0.68594299,0.236773612,0.009000012,109.63,1.029
56,158.1746023,188930.2675,0.701104694,0.238535785,0.009000027,109.63,1.029
57,144.3920786,182923.2565,0.69066246,0.249660902,0.00900004,109.63,1.029
58,74.71326497,188717.1875,0.681594373,0.34707396,0.008999985,109.63,1.029
59,154.6789323,185107.2352,0.676091806,0.241215664,0.008999993,109.63,1.029
60,149.0423713,191273.798,0.714424696,0.24573479,0.009000011,109.63,1.029
61,139.8149771,189780.013,0.683980308,0.253714066,0.009000006,109.63,1.029
62,164.9070445,187402.4464,0.686984406,0.233615799,0.009000023,109.63,1.029
63,139.1680383,188519.4926,0.699068668,0.254303261,0.009000018,109.63,1.029
64,124.5217984,188237.7947,0.689661586,0.268842917,0.009000001,109.63,1.029
65,154.6702995,189299.1483,0.691951009,0.241222567,0.009000006,109.63,1.029
66,157.3338789,188535.0511,0.694589069,0.239172229,0.009000026,109.63,1.029
67,160.7198809,191215.7357,0.697562319,0.236639166,0.009000007,109.63,1.029
68,131.8272879,193845.8254,0.703728019,0.261287637,0.009000011,109.63,1.029
69,157.9215492,183647.5651,0.67886422,0.238726075,0.008999971,109.63,1.029
70,133.0000557,191106.7481,0.710263132,0.260132996,0.009000004,109.63,1.029
71,154.1331133,185321.2429,0.698298608,0.241643254,0.009000058,109.63,1.029
72,161.6444211,188737.6468,0.674636365,0.235961588,0.009000017,109.63,1.029
73,144.6637384,192322.3892,0.711679525,0.249426273,0.009000033,109.63,1.029
74,157.8086824,190204.9937,0.685151297,0.23881187,0.009000004,109.63,1.029
75,158.6302797,186499.9569,0.690172663,0.238192766,0.009000015,109.63,1.029
76,154.0769122,187070.8332,0.695037685,0.24168697,0.009000032,109.63,1.029
77,146.5572026,188554.0109,0.69635716,0.247809854,0.009000037,109.63,1.029
78,137.4305871,190189.9033,0.705350004,0.255905414,0.008999997,109.63,1.029
79,138.8753001,193304.1521,0.722106541,0.254570732,0.008999988,109.63,1.029
80,155.3945287,190365.3816,0.68941867,0.240660636,0.009000069,109.63,1.029
81,154.4861729,189905.4571,0.682049385,0.241366061,0.00899999,109.63,1.029
82,147.9156908,185991.315,0.684135249,0.246669328,0.009000042,109.63,1.029
83,147.0220802,189254.0494,0.69461446,0.247417778,0.009000039,109.63,1.029
84,161.2587094,187103.2393,0.688218502,0.236244207,0.009000062,109.63,1.029
85,170.6750305,190745.1287,0.679282843,0.229634491,0.009000036,109.63,1.029
86,155.7954783,182751.084,0.685047353,0.240350512,0.009000051,109.63,1.029
87,151.3774297,187420.0968,0.688175542,0.243832288,0.009000022,109.63,1.029
88,137.4717728,190889.6995,0.705353238,0.255867268,0.00900001,109.63,1.029
89,171.8244554,182150.1372,0.665412241,0.228864505,0.008999987,109.63,1.029
90,138.3619628,193121.9653,0.710654578,0.255042813,0.009000008,109.63,1.029
91,147.0954511,190560.6907,0.705788173,0.247356092,0.009000041,109.63,1.029
92,159.2797157,190274.7838,0.697141174,0.2377062,0.008999979,109.63,1.029
93,161.1220232,192630.1369,0.708461556,0.236344754,0.00900009,109.63,1.029
94,158.7638034,189906.9376,0.680077645,0.238092814,0.009000032,109.63,1.029
95,120.044279,188272.7076,0.685074603,0.273811821,0.009000069,109.63,1.029
96,142.1280119,187576.9329,0.696101362,0.251641332,0.009000023,109.63,1.029
97,164.8489033,189756.6334,0.688811817,0.233657349,0.009000051,109.63,1.029
98,111.6689371,185633.7084,0.681758666,0.283894028,0.009000049,109.63,1.029
99,136.7272433,189249.0552,0.703006389,0.256562982,0.009000011,109.63,1.029
100,154.2151526,185528.8922,0.689409848,0.241578884,0.009000051,109.63,1.029
101,152.283822,186464.8543,0.687038602,0.2431058,0.009000039,109.63,1.029
102,148.0528266,185204.4543,0.701086501,0.246554852,0.009000027,109.63,1.029
103,158.0294338,188848.7997,0.686949472,0.238645664,0.009000053,109.63,1.029
104,146.1745705,192826.7749,0.698082831,0.248134066,0.009000044,109.63,1.029
105,176.3363922,189758.0606,0.682731309,0.225917604,0.008999991,109.63,1.029
106,121.9831533,190366.6444,0.698923148,0.271626923,0.009000062,109.63,1.029
107,151.0032982,189656.5086,0.702223968,0.24413424,0.009000027,109.63,1.029
108,140.8479452,194001.3238,0.703462375,0.252782506,0.009000042,109.63,1.029
109,154.4844177,186631.3862,0.698151353,0.24136798,0.009000031,109.63,1.029
110,127.4176797,191006.7972,0.702292873,0.265770826,0.009000037,109.63,1.029
111,157.9997584,187607.2385,0.689176569,0.238667723,0.009000027,109.63,1.029
112,149.1381128,190084.0183,0.684754553,0.245656682,0.009000068,109.63,1.029
113,168.7717385,192027.7176,0.685181574,0.230925164,0.008999995,109.63,1.029
114,169.7779983,189076.5557,0.677726973,0.230239966,0.009000007,109.63,1.029
115,159.6204061,194306.3342,0.68798623,0.237452996,0.009000025,109.63,1.029
116,115.8699354,188624.6009,0.692351787,0.278699463,0.009000011,109.63,1.029
117,150.5590441,191211.3718,0.697717038,0.244494157,0.009000027,109.63,1.029
118,158.6821285,187122.2962,0.688757835,0.238154105,0.009000034,109.63,1.029
119,159.4971662,190604.8584,0.691998659,0.237545047,0.00900005,109.63,1.029
120,160.622563,185042.324,0.6787473,0.236711077,0.009000025,109.63,1.029
121,116.4119317,190704.0039,0.694604364,0.278049983,0.009000015,109.63,1.029
122,160.7073902,186928.8566,0.688601862,0.236648647,0.009000029,109.63,1.029
123,152.165113,186596.46,0.678192839,0.243199945,0.00899999,109.63,1.029
124,114.9268006,189682.9829,0.693047792,0.279840877,0.009000023,109.63,1.029
125,136.1116273,191274.9942,0.689547321,0.25714289,0.009000036,109.63,1.029
126,147.7562908,191500.5821,0.705066991,0.246801335,0.008999969,109.63,1.029
127,144.9770854,186513.8267,0.68676123,0.249156355,0.009000016,109.63,1.029
128,169.0047251,191212.5853,0.697414903,0.23076643,0.009000033,109.63,1.029
129,150.9040826,187157.5992,0.685754778,0.244214739,0.009000046,109.63,1.029
130,95.27920597,192389.0354,0.702760867,0.307343046,0.00900005,109.63,1.029
131,133.3442372,186059.1616,0.686363166,0.259797311,0.009000022,109.63,1.029
132,152.9869662,189113.415,0.705996236,0.242546205,0.009000018,109.63,1.029
133,149.230906,189916.7024,0.692146168,0.245579928,0.009000041,109.63,1.029
134,127.5443365,192736.8771,0.700417525,0.26563862,0.009000023,109.63,1.029
135,169.4306984,188332.2254,0.69850795,0.230476357,0.009000049,109.63,1.029
136,162.5764727,189639.1295,0.697170664,0.235284101,0.009000007,109.63,1.029
137,141.7110506,195693.4757,0.712214939,0.252011432,0.009000035,109.63,1.029
138,165.9534143,194135.1902,0.693356716,0.232878274,0.009000034,109.63,1.029
139,151.4518203,193824.2305,0.691562265,0.243773119,0.009000075,109.63,1.029
140,167.7087184,187657.4206,0.680838602,0.231656341,0.009000031,109.63,1.029
141,140.4394134,194701.1826,0.706231468,0.253149323,0.009000001,109.63,1.029
142,150.2320709,185460.7487,0.702214896,0.24475955,0.008999988,109.63,1.029
143,153.6150406,190741.7242,0.708173626,0.242050557,0.009000071,109.63,1.029
144,135.4156559,189166.1579,0.693602923,0.257802881,0.009000039,109.63,1.029
145,153.6446071,188804.963,0.693455628,0.242026718,0.00900003,109.63,1.029
146,162.778823,192462.2991,0.691436331,0.235137955,0.009000018,109.63,1.029
147,135.5893093,192426.6629,0.684559023,0.257637846,0.009000047,109.63,1.029
148,154.0021778,189508.4711,0.690112164,0.241745315,0.00900001,109.63,1.029
149,178.0894689,185280.058,0.665598491,0.224803668,0.009000052,109.63,1.029
