Case,n,E (GPa),sy (GPa),C (GPa),dP/dh (N/m),Wp/Wt
1,0,10,0.03,1.0319,10020.3,
2,0.1,10,0.03,1.3748,9278.4,
3,0.3,10,0.03,2.2812,7984.4,
4,0.5,10,0.03,3.6093,7041,
5,0,10,0.1,2.9252,9348,
6,0.1,10,0.1,3.4149,8318,
7,0.3,10,0.1,4.4758,7193,
8,0.5,10,0.1,5.7961,6954,
9,0,10,0.3,6.1918,7942,
10,0.1,10,0.3,6.5223,7160,
11,0.3,10,0.3,7.4215,6962,
12,0.5,10,0.3,8.3824,6258,
25,0,50,0.2,6.6799,49358,
26,0.1,50,0.2,8.6729,46010,
27,0.3,50,0.2,13.602,39721,
28,0.5,50,0.2,20.319,35082,
29,0,50,0.6,16.838,45938,
30,0.1,50,0.6,19.3,41166,
31,0.3,50,0.6,24.601,35818,
32,0.5,50,0.6,30.961,34700,
33,0,50,1,24.248,41594,
34,0.1,50,1,26.481,39650,
35,0.3,50,1,31.225,35180,
36,0.5,50,1,36.9,31540,
37,0,50,2,35.566,35840,
38,0.1,50,2,37.206,35180,
39,0.3,50,2,41.413,31580,
40,0.5,50,2,45.506,31070,
45,0,90,0.5,16.134,87732,
46,0.1,90,0.5,20.116,81712,
47,0.3,90,0.5,29.544,70860,
48,0.5,90,0.5,41.805,63120,
49,0,90,1.5,38.535,76320,
50,0.1,90,1.5,42.941,72350,
51,0.3,90,1.5,51.71,63720,
52,0.5,90,1.5,62.481,62140,
53,0,90,3,58.608,70600,
54,0.1,90,3,61.78,63970,
55,0.3,90,3,69.607,62540,
56,0.5,90,3,77.804,56200,
57,0,130,1,30.689,123600,
58,0.1,130,1,36.961,116220,
59,0.3,130,1,50.914,101380,
60,0.5,130,1,68.312,90500,
61,0,130,2,52.625,111550,
62,0.1,130,2,59.102,105080,
63,0.3,130,2,72.077,92320,
64,0.5,130,2,87.821,90040,
65,0,130,3,69.118,106110,
66,0.1,130,3,74.449,101920,
67,0.3,130,3,86.482,91090,
68,0.5,130,3,101,81740,
69,0,170,0.3,10.659,173394,
70,0.1,170,0.3,15.116,160000,
71,0.3,170,0.3,27.929,137400,
72,0.5,170,0.3,48.909,120370,
73,0,170,1.5,44.986,160640,
74,0.1,170,1.5,53.211,142850,
75,0.3,170,1.5,71.516,132160,
76,0.5,170,1.5,94.07,118200,
77,0,170,3,75.676,143180,
78,0.1,170,3,83.801,135920,
79,0.3,170,3,100,120150,
80,0.5,170,3,120,109500,
81,0,210,0.3,10.76,215392,
82,0.1,210,0.3,15.554,198298,
83,0.3,210,0.3,30.068,169510,
84,0.5,210,0.3,55.085,149000,
85,0,210,1.8,54.276,198900,
86,0.1,210,1.8,64.365,176800,
87,0.3,210,1.8,87.031,163340,
88,0.5,210,1.8,115,146060,
89,0,210,3,80.716,183820,
90,0.1,210,3,91.32,170860,
91,0.3,210,3,112,149440,
92,0.5,210,3,138,145360,
1001,0.145964128,24.518,0.036792082,2.2215421,21129.74653,0.968203258
1002,0.01662948,158.652,0.314353259,19.0231115,131708.1732,0.956341229
1003,0.179914383,23.138,0.08110304,4.380162,19326.0212,0.927218339
1004,0.104538091,177.128,0.77102177,33.053029,152859.8196,0.932535706
1005,0.177243493,73.432,0.561384659,23.3765256,59910.281,0.869552748
1006,0.248499571,83.518,0.698605786,31.2771226,66654.2667,0.846968403
1007,0.192212837,161.724,1.4218142,57.4091608,131356.7534,0.853287918
1008,0.200421464,200.938,1.791465339,72.8019035,161673.5336,0.850832704
1009,0.069375057,125.17298,1.46212455,45.1437746,104309.2768,0.85534731
1010,0.252666543,168.884,2.388292291,84.6763093,118481.3383,0.777705605
1011,0.010839473,122.034,1.8229105,48.4802238,101912.643,0.841886718
1012,0.173475534,33.366,0.551258765,16.6765362,23753.0454,0.787709565
1013,0.04541143,76.098,1.273039936,33.7772604,62140.3899,0.817121133
1014,0.019809834,100.806,1.969671916,47.9575914,82593.2736,0.802475838
1015,0.13734243,74.168,1.504071357,40.0177723,52752.7822,0.767863033
1016,0.154791826,185.734,4.697898647,113.9710269,130119.2861,0.717970235
1017,0.213848392,21.538,0.683477487,15.2717955,14757.3832,0.65106603
1018,0.211730791,145.74,5.298021123,109.1965021,99480.9264,0.624195969
1019,0.4,10,0.3,7.78642579,6720.036097,
1020,0.4372,24.52,0.0368,5.49020194,17278.73579,
1021,0.3526,200.94,1.7915,90.83247026,139875.1818,
1022,0.4173,122.03,1.8229,74.49882057,83055.04043,
1023,0.4881,100.81,1.9697,72.16852105,67617.92579,
1024,0.4623,145.74,5.298,124.8223953,85233.09446,
