Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),E* (GPa),sy (GPa),s0.008 (GPa),s0.015 (GPa),s0.033 (GPa)
43,144.4077876,194937.6204,0.707818713,0.249647258,0.009000035,109.63,1.168,1.232766667,1.2634,1.285
44,135.3097899,188777.781,0.709592111,0.257903579,0.00900003,109.63,1.168,1.232766667,1.2634,1.285
45,130.7756514,191791.881,0.727040281,0.262335609,0.008999977,109.63,1.168,1.232766667,1.2634,1.285
46,129.4428378,201183.3488,0.724423777,0.263683565,0.009000034,109.63,1.168,1.232766667,1.2634,1.285
47,145.1280655,188577.5953,0.714341595,0.249027027,0.009000039,109.63,1.168,1.232766667,1.2634,1.285
48,138.7652436,197626.9894,0.713167774,0.254671604,0.008999984,109.63,1.168,1.232766667,1.2634,1.285
49,137.7013095,189793.522,0.711443142,0.255653751,0.008999998,109.63,1.168,1.232766667,1.2634,1.285
50,136.92757,199646.5821,0.730971716,0.256374887,0.008999987,109.63,1.168,1.232766667,1.2634,1.285
51,131.9122492,207237.6791,0.726388178,0.261204127,0.009000056,109.63,1.168,1.232766667,1.2634,1.285
52,141.3019357,198638.761,0.712143451,0.252375394,0.008999992,109.63,1.168,1.232766667,1.2634,1.285
53,142.6554181,192460.8396,0.716844031,0.25117533,0.008999994,109.63,1.168,1.232766667,1.2634,1.285
54,153.816655,192424.0044,0.706145568,0.241891568,0.009000048,109.63,1.168,1.232766667,1.2634,1.285
55,127.4675435,199196.1456,0.736700746,0.26571847,0.009000012,109.63,1.168,1.232766667,1.2634,1.285
56,142.1649221,198664.3855,0.718984329,0.251608335,0.009,109.63,1.168,1.232766667,1.2634,1.285
57,148.1893192,192092.5543,0.705149976,0.246441207,0.009000022,109.63,1.168,1.232766667,1.2634,1.285
58,131.5674053,197437.8535,0.724486862,0.261546355,0.009000065,109.63,1.168,1.232766667,1.2634,1.285
59,134.7777422,197947.7592,0.736624352,0.258412188,0.009000034,109.63,1.168,1.232766667,1.2634,1.285
60,132.6238284,195517.0796,0.709768763,0.260501539,0.008999993,109.63,1.168,1.232766667,1.2634,1.285
61,138.9570625,196014.7405,0.726540728,0.254496291,0.009000021,109.63,1.168,1.232766667,1.2634,1.285
62,143.8355472,201308.8442,0.713142007,0.250143085,0.009000015,109.63,1.168,1.232766667,1.2634,1.285
63,147.9374296,192613.5297,0.713237374,0.246650896,0.00900002,109.63,1.168,1.232766667,1.2634,1.285
64,136.481979,193801.5648,0.727152393,0.256793604,0.009000025,109.63,1.168,1.232766667,1.2634,1.285
65,142.9581849,198023.7655,0.708680154,0.250909687,0.009000028,109.63,1.168,1.232766667,1.2634,1.285
66,127.4349903,192174.4901,0.717107616,0.26575307,0.009000057,109.63,1.168,1.232766667,1.2634,1.285
67,135.3033458,197029.2363,0.719212562,0.257909456,0.009000012,109.63,1.168,1.232766667,1.2634,1.285
68,143.479695,195447.4728,0.713436729,0.25045266,0.008999984,109.63,1.168,1.232766667,1.2634,1.285
69,136.4415042,201398.9,0.722877861,0.256831619,0.00900002,109.63,1.168,1.232766667,1.2634,1.285
70,137.2876027,195301.4025,0.717230258,0.256039134,0.009000031,109.63,1.168,1.232766667,1.2634,1.285
71,139.41427,204971.8313,0.725159867,0.254079049,0.00900005,109.63,1.168,1.232766667,1.2634,1.285
72,145.8186046,199169.02,0.711452566,0.248436253,0.009000008,109.63,1.168,1.232766667,1.2634,1.285
73,136.6156042,198591.8002,0.724525364,0.256667712,0.009000006,109.63,1.168,1.232766667,1.2634,1.285
74,135.4241608,195112.4795,0.720477639,0.257794031,0.008999987,109.63,1.168,1.232766667,1.2634,1.285
75,142.5521747,198675.89,0.70738482,0.251266251,0.008999993,109.63,1.168,1.232766667,1.2634,1.285
76,125.3489716,196983.7882,0.701079497,0.267955035,0.009000044,109.63,1.168,1.232766667,1.2634,1.285
77,138.3467819,193596.0299,0.723310679,0.25505644,0.008999982,109.63,1.168,1.232766667,1.2634,1.285
78,131.7624505,198056.1202,0.71938626,0.261352157,0.009000028,109.63,1.168,1.232766667,1.2634,1.285
79,135.6293995,194641.6379,0.709826944,0.257599555,0.009000032,109.63,1.168,1.232766667,1.2634,1.285
80,146.8256026,195220.5989,0.722180161,0.247582683,0.008999996,109.63,1.168,1.232766667,1.2634,1.285
81,148.0404366,195189.6095,0.720761743,0.246565244,0.009000032,109.63,1.168,1.232766667,1.2634,1.285
82,139.4340262,195365.4376,0.714892967,0.254060691,0.009000025,109.63,1.168,1.232766667,1.2634,1.285
83,126.1194202,207014.6466,0.739738113,0.267135175,0.009000033,109.63,1.168,1.232766667,1.2634,1.285
84,143.374731,198520.4501,0.714302855,0.250544867,0.009000023,109.63,1.168,1.232766667,1.2634,1.285
85,135.4808689,198502.7834,0.729187869,0.257740576,0.009000022,109.63,1.168,1.232766667,1.2634,1.285
86,135.6328716,194225.3165,0.714963962,0.257596512,0.00900005,109.63,1.168,1.232766667,1.2634,1.285
87,145.8276671,200040.4758,0.724308338,0.248428918,0.009000036,109.63,1.168,1.232766667,1.2634,1.285
88,99.25094376,194664.9164,0.71787182,0.301130898,0.009000058,109.63,1.168,1.232766667,1.2634,1.285
89,144.7644657,191989.0165,0.702492948,0.249339638,0.009000044,109.63,1.168,1.232766667,1.2634,1.285
90,148.678916,195922.3629,0.718353196,0.246035011,0.009000015,109.63,1.168,1.232766667,1.2634,1.285
91,145.1387486,197384.715,0.708062395,0.24901759,0.009000019,109.63,1.168,1.232766667,1.2634,1.285
92,140.876972,202018.3345,0.714219994,0.25275628,0.009000029,109.63,1.168,1.232766667,1.2634,1.285
93,107.1136215,203804.7386,0.727012984,0.289867606,0.009000032,109.63,1.168,1.232766667,1.2634,1.285
94,138.9828404,195082.4202,0.714840822,0.254471907,0.008999966,109.63,1.168,1.232766667,1.2634,1.285
95,146.0467449,192424.1344,0.703515504,0.248242497,0.009000034,109.63,1.168,1.232766667,1.2634,1.285
96,149.1232621,195556.5483,0.716007774,0.245667873,0.008999992,109.63,1.168,1.232766667,1.2634,1.285
97,126.8979212,203191.1846,0.724237289,0.26631392,0.008999994,109.63,1.168,1.232766667,1.2634,1.285
98,144.9452264,195740.5336,0.71944051,0.249183745,0.009000017,109.63,1.168,1.232766667,1.2634,1.285
99,115.8144344,189934.0218,0.709116069,0.278766669,0.009000039,109.63,1.168,1.232766667,1.2634,1.285
100,135.6149774,194729.1584,0.714400004,0.257613328,0.009000037,109.63,1.168,1.232766667,1.2634,1.285
101,148.2981616,193488.0265,0.717831199,0.246349955,0.008999963,109.63,1.168,1.232766667,1.2634,1.285
102,138.9662896,198547.4641,0.714078995,0.254488115,0.009000041,109.63,1.168,1.232766667,1.2634,1.285
103,149.5992014,195199.3622,0.705094601,0.245276986,0.009000008,109.63,1.168,1.232766667,1.2634,1.285
104,136.9435428,195420.0743,0.725254976,0.256360911,0.009000055,109.63,1.168,1.232766667,1.2634,1.285
105,104.8139793,188623.9544,0.697845033,0.293030093,0.009000024,109.63,1.168,1.232766667,1.2634,1.285
106,120.365349,203765.2875,0.737909638,0.273445127,0.008999986,109.63,1.168,1.232766667,1.2634,1.285
107,136.4860201,197553.6955,0.717658896,0.256790111,0.009000047,109.63,1.168,1.232766667,1.2634,1.285
108,137.0656258,197333.0132,0.711071915,0.256246591,0.009000046,109.63,1.168,1.232766667,1.2634,1.285
109,146.821663,194947.883,0.721392153,0.24758672,0.009000048,109.63,1.168,1.232766667,1.2634,1.285
110,137.2949589,206244.8902,0.73049358,0.256032647,0.009000057,109.63,1.168,1.232766667,1.2634,1.285
111,138.9154695,200473.3582,0.730790662,0.254534917,0.009000059,109.63,1.168,1.232766667,1.2634,1.285
112,150.6430731,188590.6369,0.714916361,0.244425609,0.009000001,109.63,1.168,1.232766667,1.2634,1.285
113,137.1703806,191330.6851,0.726021801,0.256148699,0.009000044,109.63,1.168,1.232766667,1.2634,1.285
114,136.2610039,193943.9633,0.722753237,0.257002054,0.009000047,109.63,1.168,1.232766667,1.2634,1.285
115,139.8655148,194629.5637,0.719420814,0.253668702,0.00900004,109.63,1.168,1.232766667,1.2634,1.285
116,136.1060073,195988.5694,0.722822647,0.257148001,0.009000023,109.63,1.168,1.232766667,1.2634,1.285
117,137.4462331,193804.3044,0.718557716,0.25589074,0.008999989,109.63,1.168,1.232766667,1.2634,1.285
118,140.1931352,196410.6252,0.728880795,0.253371682,0.009000008,109.63,1.168,1.232766667,1.2634,1.285
119,150.5349916,199845.2194,0.712587409,0.244513688,0.009000027,109.63,1.168,1.232766667,1.2634,1.285
120,136.8726684,197359.4359,0.715004295,0.256426807,0.009000022,109.63,1.168,1.232766667,1.2634,1.285
121,144.1519419,193728.186,0.700823333,0.24986892,0.009000051,109.63,1.168,1.232766667,1.2634,1.285
122,143.9818058,198341.6209,0.721318431,0.250015817,0.009000002,109.63,1.168,1.232766667,1.2634,1.285
123,136.0413088,191662.9512,0.715339895,0.257209015,0.009000014,109.63,1.168,1.232766667,1.2634,1.285
124,133.1818503,197903.863,0.7346675,0.259955754,0.009000029,109.63,1.168,1.232766667,1.2634,1.285
125,138.2233476,193656.8063,0.709001964,0.255170728,0.009000013,109.63,1.168,1.232766667,1.2634,1.285
126,140.2218341,194885.2712,0.722906576,0.253345863,0.009000016,109.63,1.168,1.232766667,1.2634,1.285
127,138.9223405,193891.6184,0.715198985,0.254527885,0.009000007,109.63,1.168,1.232766667,1.2634,1.285
128,144.3204176,194667.8973,0.721246666,0.249722457,0.00900001,109.63,1.168,1.232766667,1.2634,1.285
129,132.5962017,195993.2762,0.712800325,0.260529229,0.009000031,109.63,1.168,1.232766667,1.2634,1.285
130,138.6174794,193318.568,0.703565742,0.254807655,0.009000009,109.63,1.168,1.232766667,1.2634,1.285
131,134.8886998,194071.7795,0.712267115,0.258306015,0.009000043,109.63,1.168,1.232766667,1.2634,1.285
132,139.7873466,191802.1234,0.711513347,0.253739391,0.009000024,109.63,1.168,1.232766667,1.2634,1.285
133,129.7701836,203270.5007,0.73965023,0.263350717,0.009000029,109.63,1.168,1.232766667,1.2634,1.285
134,131.2206444,198020.2462,0.726401267,0.261890978,0.009000015,109.63,1.168,1.232766667,1.2634,1.285
135,148.3309851,192896.4344,0.707813265,0.246323033,0.008999988,109.63,1.168,1.232766667,1.2634,1.285
136,139.8509367,195289.4032,0.711699676,0.253681637,0.009000019,109.63,1.168,1.232766667,1.2634,1.285
137,137.521067,189692.3756,0.700146935,0.255821741,0.009000034,109.63,1.168,1.232766667,1.2634,1.285
138,149.7871004,193056.9693,0.709170635,0.245122665,0.008999976,109.63,1.168,1.232766667,1.2634,1.285
139,132.6915318,198853.5897,0.717189064,0.260435209,0.009000002,109.63,1.168,1.232766667,1.2634,1.285
140,118.3322342,203728.2098,0.740068177,0.27578432,0.008999994,109.63,1.168,1.232766667,1.2634,1.285
141,130.4504379,195414.3658,0.721438123,0.262663106,0.009000025,109.63,1.168,1.232766667,1.2634,1.285
142,137.3044534,197907.1732,0.719666276,0.256022989,0.009000001,109.63,1.168,1.232766667,1.2634,1.285
143,147.3014699,198538.2463,0.721326784,0.247182722,0.009000016,109.63,1.168,1.232766667,1.2634,1.285
