Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),E* (GPa),sy (GPa),s0.008 (GPa),s0.015 (GPa),s0.033 (GPa)
0,124.9133434,187462.6192,0.699423449,0.268421299,0.009000006,109.63,1.168,1.232766667,1.2634,1.285
1,152.00798,191673.9727,0.703522348,0.24332584,0.009000007,109.63,1.168,1.232766667,1.2634,1.285
2,144.8855068,196953.1755,0.702757991,0.249234952,0.009000007,109.63,1.168,1.232766667,1.2634,1.285
3,141.4934101,194495.7642,0.710697475,0.252204889,0.009000015,109.63,1.168,1.232766667,1.2634,1.285
4,146.4998148,191659.752,0.718834058,0.247858115,0.009000018,109.63,1.168,1.232766667,1.2634,1.285
5,140.358297,196177.1273,0.723092637,0.253222896,0.009000032,109.63,1.168,1.232766667,1.2634,1.285
6,137.3021434,198393.913,0.724325927,0.256025905,0.009000054,109.63,1.168,1.232766667,1.2634,1.285
7,141.0228624,192264.3064,0.705910456,0.252625553,0.009000033,109.63,1.168,1.232766667,1.2634,1.285
8,134.9102133,194843.1147,0.724574489,0.258284763,0.008999998,109.63,1.168,1.232766667,1.2634,1.285
9,147.1985109,188882.7669,0.711637742,0.247269193,0.009000019,109.63,1.168,1.232766667,1.2634,1.285
10,148.6191678,194141.4042,0.716325373,0.246084658,0.009000029,109.63,1.168,1.232766667,1.2634,1.285
11,129.6800542,198318.5159,0.723304878,0.263442494,0.009000048,109.63,1.168,1.232766667,1.2634,1.285
12,139.3341551,193835.333,0.705358035,0.254151195,0.008999987,109.63,1.168,1.232766667,1.2634,1.285
13,115.8255178,193521.4636,0.705252204,0.278752909,0.009000012,109.63,1.168,1.232766667,1.2634,1.285
14,139.1907915,197212.161,0.729015497,0.254282223,0.009,109.63,1.168,1.232766667,1.2634,1.285
15,119.2543899,199391.9368,0.726793418,0.274715956,0.008999992,109.63,1.168,1.232766667,1.2634,1.285
16,133.9509166,193647.8691,0.722228414,0.259208273,0.009000019,109.63,1.168,1.232766667,1.2634,1.285
17,137.2411423,196556.8366,0.731822215,0.256081931,0.008999994,109.63,1.168,1.232766667,1.2634,1.285
18,137.6647142,197496.8904,0.726467903,0.255687746,0.008999999,109.63,1.168,1.232766667,1.2634,1.285
19,140.9836736,193420.6684,0.716838572,0.252660631,0.00900003,109.63,1.168,1.232766667,1.2634,1.285
20,136.9504762,195728.7774,0.723544115,0.256354328,0.009000049,109.63,1.168,1.232766667,1.2634,1.285
21,132.4047807,192126.6328,0.716665405,0.260717187,0.00900001,109.63,1.168,1.232766667,1.2634,1.285
22,134.5188796,198006.124,0.721266765,0.258660277,0.009000004,109.63,1.168,1.232766667,1.2634,1.285
23,153.1276243,189301.1414,0.718879322,0.242435044,0.009000038,109.63,1.168,1.232766667,1.2634,1.285
24,119.1363404,200129.4671,0.720248923,0.274852293,0.00900001,109.63,1.168,1.232766667,1.2634,1.285
25,146.9654904,190314.4447,0.712668738,0.247465215,0.009000024,109.63,1.168,1.232766667,1.2634,1.285
26,144.2471,190984.234,0.713468948,0.249786194,0.00900003,109.63,1.168,1.232766667,1.2634,1.285
27,132.9015382,195185.2414,0.72520276,0.26023029,0.009000066,109.63,1.168,1.232766667,1.2634,1.285
28,145.3699968,193435.3656,0.715611198,0.248819478,0.009000021,109.63,1.168,1.232766667,1.2634,1.285
29,138.4681969,195207.2066,0.723824061,0.25494508,0.009000017,109.63,1.168,1.232766667,1.2634,1.285
30,122.9293145,206909.3138,0.740425758,0.27057858,0.008999995,109.63,1.168,1.232766667,1.2634,1.285
31,139.2634052,194871.9991,0.715619069,0.25421551,0.008999971,109.63,1.168,1.232766667,1.2634,1.285
32,137.49124,193897.8864,0.713440015,0.255849492,0.009000034,109.63,1.168,1.232766667,1.2634,1.285
33,124.2503511,197783.8482,0.719473052,0.269136485,0.009000006,109.63,1.168,1.232766667,1.2634,1.285
34,142.8921081,192926.1203,0.719376163,0.250967686,0.009000028,109.63,1.168,1.232766667,1.2634,1.285
35,137.1852104,194116.634,0.716119875,0.256134527,0.009000021,109.63,1.168,1.232766667,1.2634,1.285
36,137.5066792,195791.1109,0.713620602,0.255835515,0.009000061,109.63,1.168,1.232766667,1.2634,1.285
37,138.0241184,193530.8609,0.710498329,0.25535514,0.009000035,109.63,1.168,1.232766667,1.2634,1.285
38,141.8791321,193422.7523,0.722750909,0.251861847,0.009000016,109.63,1.168,1.232766667,1.2634,1.285
39,136.7408203,196782.9733,0.721944782,0.256550311,0.009000016,109.63,1.168,1.232766667,1.2634,1.285
40,134.0369962,192873.1762,0.711088858,0.259124932,0.009000012,109.63,1.168,1.232766667,1.2634,1.285
41,125.6998771,198048.4413,0.74496645,0.267580034,0.008999995,109.63,1.168,1.232766667,1.2634,1.285
42,135.466161,196624.509,0.717208044,0.257754733,0.009000033,109.63,1.168,1.232766667,1.2634,1.285
