Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),E* (GPa),sy (GPa)
128,113.8222078,191212.5855,0.697414903,0.281195621,0.009000033,109.63,1.029
129,103.9756931,187157.5992,0.685754778,0.294209338,0.009000046,109.63,1.029
130,70.83407006,192389.0356,0.702760867,0.356452248,0.00900005,109.63,1.029
131,94.00056389,186059.1612,0.686363166,0.309425818,0.009000022,109.63,1.029
132,104.9762438,189113.4149,0.705996236,0.292803448,0.009000018,109.63,1.029
133,103.0816671,189916.7023,0.692146168,0.295482346,0.009000041,109.63,1.029
134,90.46792939,192736.8772,0.700417525,0.315409289,0.009000023,109.63,1.029
135,114.0941892,188332.2251,0.69850795,0.280860503,0.009000049,109.63,1.029
136,110.1756897,189639.1296,0.697170664,0.285810738,0.009000007,109.63,1.029
137,98.63520663,195693.4757,0.712214939,0.302068975,0.009000035,109.63,1.029
138,112.2542872,194135.1903,0.693356716,0.283152631,0.009000034,109.63,1.029
139,104.2446651,193824.2306,0.691562265,0.293830006,0.009000075,109.63,1.029
140,113.3754961,187657.4209,0.680838602,0.281749018,0.009000031,109.63,1.029
141,97.9159539,194701.1829,0.706231468,0.303175808,0.009000001,109.63,1.029
142,103.4519151,185460.7489,0.702214896,0.294952244,0.008999988,109.63,1.029
143,105.1310497,190741.7241,0.708173626,0.292588637,0.009000071,109.63,1.029
144,95.131626,189166.158,0.693602923,0.30758117,0.009000039,109.63,1.029
145,105.2806463,188804.963,0.693455628,0.292380026,0.00900003,109.63,1.029
146,110.4136257,192462.2993,0.691436331,0.285502787,0.009000018,109.63,1.029
147,95.42792558,192426.6632,0.684559023,0.307103413,0.009000047,109.63,1.029
148,105.6363316,189508.471,0.690112164,0.291887059,0.00900001,109.63,1.029
149,118.9484093,185280.0576,0.665598491,0.275069978,0.009000052,109.63,1.029
