Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),E* (GPa),sy (GPa)
0,143.80605998183762,195102.57529160494,0.7239171669274423,0.2501686108191368,0.009000006466,109.63,1.063
1,135.46494305676038,198119.67238525543,0.7272668962122809,0.2577557925290406,0.009000026468,109.63,1.063
2,131.26290678178654,201310.16032448647,0.7336109898660249,0.2618491142993523,0.009000035776999999,109.63,1.063
3,134.00562479591173,202923.84697187672,0.7302335052965213,0.2591551366750274,0.009000003341,109.63,1.063
4,73.47646664201201,198420.10260643184,0.7233225841564725,0.3499834245697448,0.009000014651,109.63,1.063
5,144.31551602442963,199299.82397761891,0.7281154677775251,0.24972681611436717,0.009000018185,109.63,1.063
6,133.7933670347338,201767.2520807148,0.7211632138472986,0.25936102416096596,0.009000031059000001,109.63,1.063
7,121.85837281935365,199260.1408601323,0.7263714564139667,0.27176589433331844,0.009000057445000001,109.63,1.063
8,141.43469388249022,198777.93911642086,0.7183913257528499,0.25225738586943847,0.009000025428999999,109.63,1.063
9,154.2221705519254,189045.88506949102,0.7007025981375856,0.24157287551189516,0.009000013252,109.63,1.063
10,131.76848602685456,207395.97092713154,0.7332018745631501,0.2613460605707466,0.009000019953000002,109.63,1.063
11,132.81950705982499,200614.55226356877,0.7285169261118212,0.2603102176223441,0.009000036994,109.63,1.063
12,147.6361761919611,200466.01710136278,0.7345791423549155,0.24690218177993986,0.009000002780999999,109.63,1.063
13,142.32668328763074,200659.19064119094,0.7157546038239847,0.25146523136125193,0.008999994027,109.63,1.063
14,139.45683476420317,196146.42080789222,0.7141884457730348,0.25403998728871935,0.009000030237,109.63,1.063
15,132.07245441125204,197169.58947323856,0.7321298376176726,0.2610451384646024,0.009000019864,109.63,1.063
16,132.46674410590597,199225.9024171559,0.7166404783302438,0.26065596829382504,0.008999993773,109.63,1.063
17,137.3476187598098,197793.84973577457,0.7267378762538569,0.2559830930487251,0.009000024652,109.63,1.063
18,138.871016256557,196718.79930429792,0.729495547102553,0.25457479127860105,0.008999997865,109.63,1.063
19,135.0033678338917,202509.8592743334,0.7291428589442156,0.25819594240244026,0.009000019048,109.63,1.063
20,137.19995019593853,201623.3453489704,0.7276342971321909,0.2561203280243837,0.00899999053,109.63,1.063
21,136.00422741142725,196872.17835136913,0.7303485526284144,0.2572437551805679,0.008999991289,109.63,1.063
22,123.5817796307238,201777.51018267765,0.7368636684281359,0.2698644241048517,0.009000066462999999,109.63,1.063
23,125.94780037683151,198335.50331368082,0.7237145306541178,0.26731724929923717,0.009000042376,109.63,1.063
24,137.2993310021543,197912.3179925121,0.7283399219020201,0.25602738288180676,0.008999974001000001,109.63,1.063
25,139.0714136499577,202098.90854743897,0.7441771034130096,0.2543914446880217,0.009000007526,109.63,1.063
26,134.8673871757716,202595.57611438632,0.7286014013495343,0.25832626890912186,0.009000032683,109.63,1.063
27,133.2588374397707,196352.9938281299,0.7200819523646351,0.2598807134517493,0.009000033394,109.63,1.063
28,132.36619748745548,200898.6064494877,0.7278149131159823,0.26075501155540026,0.008999998169,109.63,1.063
29,129.91913563847461,207115.67576946836,0.7408911919162131,0.2631999645440487,0.009000046958000002,109.63,1.063
30,136.31882938697538,196862.0654648624,0.7260928744767744,0.2569470552642447,0.009000013019,109.63,1.063
31,135.09759976593799,197755.38808464247,0.7273838380397346,0.2581050707752053,0.008999962644,109.63,1.063
32,160.2569104060152,196757.8698322878,0.7119955025730113,0.23698095184411236,0.009000023526999999,109.63,1.063
33,129.23868016916143,200416.14637044142,0.7319575973932004,0.2638917523824489,0.009000033964,109.63,1.063
34,137.61553405508076,193417.01217331813,0.7276738856411485,0.255733734760186,0.009000020572999999,109.63,1.063
35,132.03662200319542,202616.54199856246,0.7263742818418246,0.2610808091765546,0.00900003721,109.63,1.063
36,138.06119734227784,197897.06325257054,0.7305854493795502,0.2553206784847353,0.009000022915,109.63,1.063
37,137.0374360824049,194009.4839422796,0.7250062644439002,0.25627232352722057,0.009000002655,109.63,1.063
38,142.24678081520454,194865.9850402806,0.7231153122770367,0.2515359978496849,0.009000004777,109.63,1.063
39,124.60701240070205,200004.84654793958,0.7240207547354682,0.26875104184314885,0.009000005948,109.63,1.063
40,135.16358289353153,196114.44342049595,0.7213756342127622,0.2580425297575236,0.008999995189,109.63,1.063
41,133.19267044264276,206130.27548556752,0.7316031045126296,0.2599447427348347,0.0089999978,109.63,1.063
42,144.1247261002601,199816.13759698506,0.7183408935618559,0.24989238194336708,0.009000041839,109.63,1.063
43,140.51045762284346,202694.9991199542,0.7321394449375259,0.25308558568229733,0.009000019907,109.63,1.063
44,131.00941808934837,196152.95998419722,0.7116537896575628,0.2621019699351219,0.009000011984999999,109.63,1.063
45,135.78535556138718,205609.2275468895,0.7293746076432658,0.25745107779652926,0.008999996954,109.63,1.063
46,141.11771444018802,199333.79887336033,0.7191389269003542,0.25254006472191587,0.008999991698,109.63,1.063
47,128.28835216957242,201908.77534330034,0.7335518462915397,0.2648672559721514,0.00900002615,109.63,1.063
48,136.20241221412059,199704.7904013198,0.7301185373236635,0.25705708079956824,0.009000029683,109.63,1.063
49,130.1850483282871,197796.07087085492,0.7368425066714605,0.26293035991903385,0.009000001472,109.63,1.063
50,148.3868689003593,199564.7297084415,0.7274495207236576,0.24627605804497396,0.008999945054,109.63,1.063
51,134.1184589105585,198912.85346121292,0.7256277167214018,0.2590460791441455,0.009000001899999999,109.63,1.063
52,143.8039499667945,191673.7154982684,0.7111733104098403,0.2501707514337779,0.009000028431,109.63,1.063
53,82.03012219721995,203965.5261043749,0.7360041016766063,0.331234475543111,0.009000039674,109.63,1.063
54,123.008021905309,212164.42492700767,0.7538916085846686,0.27049252666315227,0.009000030391,109.63,1.063
55,145.7431943467453,199378.36892034987,0.7271933670827213,0.24850051131616557,0.00900000721,109.63,1.063
56,154.4663344959822,191002.4626396075,0.7170367752008029,0.24138173692660156,0.009000003056,109.63,1.063
57,145.9899442171482,194810.8087813883,0.7133125480601159,0.24829060738074613,0.009000021033,109.63,1.063
58,133.525184351341,195329.5973073874,0.7178390149744214,0.25962117344814006,0.009000018524,109.63,1.063
59,137.7251046933315,201516.09499503055,0.7221653328522379,0.25563191207498837,0.009000015308,109.63,1.063
60,125.64125961315071,197824.2859481697,0.7259824461564502,0.2676421597811147,0.008999975629,109.63,1.063
61,136.97416835989927,198677.33719211133,0.728387168253626,0.2563318911375191,0.009000029968000001,109.63,1.063
62,127.73058179676939,204203.7999209191,0.7408504060729985,0.26544419130499464,0.008999975819999999,109.63,1.063
63,127.83202488407109,200343.96605184613,0.7314578597970461,0.2653396423862355,0.009000029796,109.63,1.063
64,136.97563257447393,197953.23690104575,0.724705585347811,0.2563306998811846,0.009000042523,109.63,1.063
65,134.04260174126472,200813.72666171705,0.728614232167922,0.2591199433430681,0.00900004185,109.63,1.063
66,132.395012358306,201341.773637122,0.7248485284724459,0.2607272492615314,0.009000040628999999,109.63,1.063
67,134.6470488518132,197339.84139246825,0.724285602099499,0.25853722110853056,0.009000010002,109.63,1.063
68,129.81288245077423,195181.0823157904,0.7283828400839579,0.2633079019292408,0.009000063602,109.63,1.063
69,143.88057842487663,208628.86611628538,0.7340724310091092,0.2501041676825685,0.009000031565999999,109.63,1.063
70,130.34242960068698,197348.87876613924,0.7246342190996956,0.2627720553443538,0.009000034373000001,109.63,1.063
71,130.70646774552958,201845.39163881514,0.7398668067951399,0.2624056345307451,0.009000018264000001,109.63,1.063
72,125.49745545668351,204213.0201284135,0.7390408593829882,0.26779581985301604,0.008999999961,109.63,1.063
73,142.63217738694834,197255.790517399,0.716695918670711,0.2511963438433335,0.009000033791,109.63,1.063
74,144.82831523088518,199179.21317374494,0.7296457375340483,0.24928440480686884,0.009000024642,109.63,1.063
75,129.83529563112515,199146.32521833119,0.7316176868495856,0.2632839281480819,0.008999978439,109.63,1.063
76,131.51254541754912,199082.24726080438,0.7311961459962292,0.2616005218894058,0.00900003909,109.63,1.063
77,127.97450533285487,196516.98838255386,0.7334414893988085,0.265191923694037,0.009000031860999999,109.63,1.063
78,141.51388561643734,203388.11318689206,0.7317071055785938,0.25218665325151224,0.009000015391999999,109.63,1.063
79,144.55118904491357,199130.82361765258,0.7151165952607406,0.24952288485479662,0.008999998439999999,109.63,1.063
80,138.4821532997271,197688.69754962454,0.7202658626733424,0.2549323374790407,0.009000023926,109.63,1.063
81,132.85986079799596,196605.6146996498,0.7271479447101695,0.2602709214147223,0.009000053524,109.63,1.063
82,128.0392018243735,204664.5582926418,0.7280133737938915,0.26512498580335125,0.009000036582000001,109.63,1.063
83,148.4447666609787,198170.11799786278,0.7244560019394596,0.2462291326375696,0.009000025955,109.63,1.063
84,139.1347663895608,197591.7522490299,0.7247329999885088,0.25433382307203667,0.009000028862,109.63,1.063
85,140.71180048603745,197799.2978334525,0.7132098285783529,0.25290466143265017,0.009000034794,109.63,1.063
86,130.61615577981178,199287.4797469832,0.7238417037531614,0.2624962772341987,0.009000014203000001,109.63,1.063
87,129.63236400707157,203003.86777415214,0.729781208772269,0.2634905944304168,0.009000024164,109.63,1.063
88,144.92379907099595,195949.00429526484,0.7229723833897286,0.24920295061795242,0.009000073798,109.63,1.063
