Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),E* (GPa),sy (GPa)
0,88.99932043873918,187462.61913755385,0.6994234485809775,0.31800067670490884,0.009000005584000001,109.63,1.168
1,104.69906225783579,191673.97259881484,0.7035223477546948,0.2931905911049263,0.009000007059,109.63,1.168
2,100.56924182754318,196953.17539423835,0.7027579910729156,0.29914987807287424,0.009000006776,109.63,1.168
3,98.55604987997897,194495.7641628951,0.7106974750142263,0.3021899128786138,0.009000014633999999,109.63,1.168
4,101.32344567854287,191659.75220594963,0.7188340577914498,0.2980346132475284,0.009000017643,109.63,1.168
5,97.85232669811971,196177.1272555089,0.7230926365483894,0.3032748784857188,0.00900003154,109.63,1.168
6,96.11891153338983,198393.91309495035,0.7243259272129862,0.30599768886737716,0.009000054448999999,109.63,1.168
7,98.48583512585276,192264.30632160458,0.7059104556610792,0.30229791652930293,0.009000032545,109.63,1.168
8,94.75321748915478,194843.11533099998,0.7245744885151143,0.30819402690661185,0.00899999775,109.63,1.168
9,101.73712400682605,188882.76666447727,0.7116377416976709,0.2974280961906676,0.009000019262,109.63,1.168
10,102.63610672829346,194141.40402999645,0.7163253725195943,0.2961228130215526,0.009000028865,109.63,1.168
11,91.77104723420575,198318.51600722526,0.7233048775421925,0.31316237394245966,0.009000048314,109.63,1.168
12,97.37617325099563,193835.33301523188,0.7053580345632339,0.3040147101593065,0.008999987359,109.63,1.168
13,83.65369109582049,193521.46338561803,0.7052522041506392,0.32800387817449717,0.009000011526000001,109.63,1.168
14,97.11465487273547,197212.16091640276,0.7290154969835623,0.3044239840733513,0.008999999843,109.63,1.168
15,85.5526056761106,199391.9367816812,0.7267934179439499,0.3243429420149725,0.008999992445,109.63,1.168
16,94.0809863932301,193647.86912572553,0.7222284136284136,0.3092934847464536,0.00900001857,109.63,1.168
17,95.93649407242543,196556.8364233241,0.7318222147568515,0.30628743219390225,0.00899999353,109.63,1.168
18,96.3319467340146,197496.89047552808,0.726467902625689,0.3056582098518285,0.008999999128,109.63,1.168
19,98.3188156979225,193420.66848538796,0.7168385716995267,0.3025545366066228,0.009000030416,109.63,1.168
20,95.92605762086774,195728.77770050472,0.7235441147979588,0.30630503087155997,0.009000048627,109.63,1.168
21,93.40310778158036,192126.63283249587,0.7166654045102406,0.3104136651429427,0.009000009959,109.63,1.168
22,94.52998264732553,198006.12419014954,0.7212667652216149,0.3085578293511113,0.009000004354,109.63,1.168
23,104.95386103566568,189301.14134411677,0.7188793220225695,0.2928349845351867,0.009000037934,109.63,1.168
24,85.50351353119633,200129.467248272,0.7202489232952779,0.3244363535093029,0.00900000984,109.63,1.168
25,101.62390410508738,190314.44458198748,0.7126687376283812,0.29759381902041454,0.009000024439,109.63,1.168
26,100.21676544303628,190984.2344133128,0.7134689475829811,0.2996758774492091,0.009000029909999999,109.63,1.168
27,93.52920491778063,195185.24172901103,0.725202759806903,0.3102053102013159,0.009000066085000001,109.63,1.168
28,100.7552285138242,193435.36567575374,0.7156111977577991,0.2988738850003238,0.009000021153,109.63,1.168
