Case,n,E (GPa),sy (GPa),C (GPa)
1,0,10,0.03,10.179
2,0.1,10,0.03,11.403
3,0.3,10,0.03,14.702
4,0.5,10,0.03,18.72
5,0,10,0.1,21.271
6,0.1,10,0.1,22.527
7,0.3,10,0.1,25.207
8,0.5,10,0.1,27.885
9,0,10,0.3,33.399
10,0.1,10,0.3,34.05
11,0.3,10,0.3,35.24
12,0.5,10,0.3,36.225
25,0,50,0.2,62.188
26,0.1,50,0.2,68.414
27,0.3,50,0.2,84.816
28,0.5,50,0.2,1.04E+02
29,0,50,0.6,1.16E+02
30,0.1,50,0.6,1.22E+02
31,0.3,50,0.6,1.35E+02
32,0.5,50,0.6,1.47E+02
33,0,50,1,1.45E+02
34,0.1,50,1,1.50E+02
35,0.3,50,1,1.59E+02
36,0.5,50,1,1.67E+02
37,0,50,2,1.81E+02
38,0.1,50,2,1.83E+02
39,0.3,50,2,1.87E+02
40,0.5,50,2,1.90E+02
45,0,90,0.5,1.38E+02
46,0.1,90,0.5,1.49E+02
47,0.3,90,0.5,1.78E+02
48,0.5,90,0.5,2.09E+02
49,0,90,1.5,2.43E+02
50,0.1,90,1.5,2.52E+02
51,0.3,90,1.5,2.70E+02
52,0.5,90,1.5,2.88E+02
53,0,90,3,3.10E+02
54,0.1,90,3,3.15E+02
55,0.3,90,3,3.24E+02
56,0.5,90,3,3.32E+02
57,0,130,1,2.40E+02
58,0.1,130,1,2.57E+02
59,0.3,130,1,2.95E+02
60,0.5,130,1,3.35E+02
61,0,130,2,3.39E+02
62,0.1,130,2,3.53E+02
63,0.3,130,2,3.81E+02
64,0.5,130,2,4.07E+02
65,0,130,3,3.98E+02
66,0.1,130,3,4.09E+02
67,0.3,130,3,4.30E+02
68,0.5,130,3,4.47E+02
69,0,170,0.3,1.15E+02
70,0.1,170,0.3,1.35E+02
71,0.3,170,0.3,1.88E+02
72,0.5,170,0.3,2.61E+02
73,0,170,1.5,3.39E+02
74,0.1,170,1.5,3.61E+02
75,0.3,170,1.5,4.08E+02
76,0.5,170,1.5,4.57E+02
77,0,170,3,4.70E+02
78,0.1,170,3,4.86E+02
79,0.3,170,3,5.20E+02
80,0.5,170,3,5.51E+02
81,0,210,0.3,1.19E+02
82,0.1,210,0.3,1.42E+02
83,0.3,210,0.3,2.06E+02
84,0.5,210,0.3,2.96E+02
85,0,210,1.8,4.12E+02
86,0.1,210,1.8,4.39E+02
87,0.3,210,1.8,4.98E+02
88,0.5,210,1.8,5.59E+02
89,0,210,3,5.31E+02
90,0.1,210,3,5.53E+02
91,0.3,210,3,6.00E+02
92,0.5,210,3,6.46E+02
